,sigma_sq,alpha
1,4.551399287,9.111926983
2,3.447066414,11.55598996
3,5.533813316,11.50193472
4,2.24274565,15.9600642
5,5.092541722,18.23585218
6,3.587865693,11.46763943
7,3.01278499,14.93233941
8,4.012660234,15.64011342
9,3.507287227,11.33921404
10,3.560694002,11.79029079
11,3.766079963,12.38387896
12,3.249685259,10.86131045
13,2.737823297,14.25863026
14,3.359426073,13.107965
15,2.370123691,15.90933426
16,3.597328355,12.30077963
17,4.727700851,10.41998243
18,2.277044738,14.59963582
19,4.624830499,15.07067588
20,2.601535799,11.81011859
21,2.512951652,17.04039046
22,2.793247704,15.06682827
23,3.406930533,10.64891695
24,3.413153117,11.34869896
25,3.458112917,10.46731905
26,3.80593288,12.24431258
27,2.809657915,18.40276444
28,2.311752514,12.949372
29,2.923548221,9.942284792
30,3.186762684,9.906826677
31,3.289992975,12.85131013
32,2.660026982,11.74842952
33,4.063949776,10.22830095
34,3.014484646,9.447894933
35,2.643395895,12.48125039
36,2.835620194,12.73415548
37,2.838023815,14.15248174
38,2.614755558,11.288772
39,2.673000196,12.08726619
40,3.379646461,14.03743555
41,4.212426959,9.840809957
42,2.182428803,12.54443507
43,2.518150135,10.55438382
44,3.331467385,14.55501124
45,2.809050065,13.25261134
46,3.169103756,16.63975246
47,2.65766724,12.43781469
48,2.760757179,11.56024943
49,3.412155206,13.05741703
50,3.137001348,10.82026981
51,2.414466349,12.58367995
52,3.779478142,11.03745468
53,3.220790994,19.33044721
54,2.64807843,10.3982936
55,2.805068927,11.00985644
56,2.660476759,11.52736689
57,2.956527605,12.79417405
58,3.080629742,11.31537635
59,3.446335768,13.92496173
60,3.062207811,13.79380954
61,2.504831519,13.27283093
62,3.257868314,10.71633123
63,3.708328599,10.68616967
64,2.737690191,10.79725304
65,3.395674954,12.3264075
66,3.732384485,17.1100566
67,2.681171295,11.26010716
68,6.086649013,15.3816296
69,4.292017439,22.98745659
70,3.001573432,11.8108978
71,2.719819612,8.959214725
72,2.599507395,12.25672587
73,3.397166951,9.102584395
74,2.240369753,15.73052021
75,2.311640867,14.42843322
76,3.354874132,9.779660733
77,3.032722367,11.77390444
78,3.125258491,14.40075818
79,4.225385871,11.84038402
80,2.579530546,16.33707752
81,2.765032613,13.12313146
82,2.329991096,12.18005123
83,3.410567944,10.39129027
84,2.891867239,12.30687495
85,5.643897357,16.26243739
86,3.373954628,11.39251629
87,3.521614017,15.33783428
88,4.82087689,12.27339137
89,4.292143021,12.93463853
90,3.003485689,11.94304508
91,6.17841586,11.10856752
92,3.782000689,7.979151758
93,3.278088105,11.44928776
94,3.899521049,15.18566789
95,2.956944775,12.46013802
96,2.964525135,12.64667384
97,2.931699064,14.04718847
98,3.561230545,13.44353283
99,3.766456557,12.09256426
100,2.708576254,9.229234688
101,2.541566945,12.9465562
102,2.449270937,11.48074361
103,3.746918765,14.35256708
104,2.980737829,13.2411748
105,2.676949105,12.34605728
106,2.215331519,9.642789937
107,3.2090555,11.90912287
108,3.254755619,16.3137769
109,3.514072485,10.53326533
110,3.761516357,11.1063087
111,2.734924373,15.71246538
112,2.589688768,15.78797746
113,2.964180687,10.1285975
114,3.605884346,11.2806428
115,2.557445625,10.79245068
116,3.674420557,16.2980715
117,4.692211403,9.860096061
118,2.595437672,12.51432368
119,2.74370428,16.15118486
